작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량
202408	11110	종로구	9171	동대문역_1	136.0	37.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	155733	126640	741.52
202410	11110	종로구	9171	동대문역_1	45.0	15.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	119861	116084	136.828
202207	11110	종로구	9172	동대문역_2	301.0	88.0	98.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	876065	543910	1459.55
202208	11110	종로구	9172	동대문역_2	301.0	88.0	98.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	949696	581156	1557.973
202210	11110	종로구	9172	동대문역_2	301.0	88.0	98.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	266801	221604	1023.145
202211	11110	종로구	9172	동대문역_2	300.0	88.0	98.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	432770	294665	987.037
202212	11110	종로구	9172	동대문역_2	300.0	88.0	98.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	1113982	692603	1322.402
202303	11110	종로구	9172	동대문역_2	300.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	419048	326978	1014.715
202303	11110	종로구	9172	동대문역_2	300.0	87.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	691504	432374	1107.302
202303	11110	종로구	9172	동대문역_2	300.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	433191	306525	961.572
202306	11110	종로구	9172	동대문역_2	300.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	640584	489251	1198.295
202307	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	824870	498401	1416.448
202308	11110	종로구	9172	동대문역_2	6.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	195249	70929	1185.47
